"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"COPYRIGHT";"CURRENT_RATING";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"HEIGHT";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_CONTACTS";"NUMBER_OF_ROWS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PITCH";"PREFIX";"PRICE";"PURCHASE-URL";"ROHS";"SOURCELIBRARY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VENDOR";"VERIFICATION_VERSION";"VOLTAGE_RATING";
"M2";"BSZ100N06LS3";"BSZ100N06LS3";"BSZ100N06LS3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"M3";"BSZ033NE2LS5";"BSZ100N06LS3";"BSZ100N06LS3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"M4";"BSZ033NE2LS5";"BSZ100N06LS3";"BSZ100N06LS3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"390K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"180K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"27K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"100K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"100K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"4m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"15m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"130K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"330m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"330m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"3.3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"330m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"330m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"3.3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R37";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R38";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R46";"510K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R47";"270K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R51";"40.2K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R52";"100K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R53";"1.0M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R54";"69.8K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"LT8309EFE";"LT8309EFE";"LT8309EFE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"DRV8847PWPR";"DRV8847PWPR";"SOP65P640X120-17N";"None Check prices";"";"";"";"Warning";"";"";"";"";"";"";"";"";" 18-V, 2-A dual H-bridge motor driver with current regulation & independent half-bridge control 16-HTSSOP -40 to 125 ";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";"";"";"DRV8847PWPR";"";"";"";"";"";"HTSSOP-16 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/DRV8847PWPR/?ref=eda";"";"";"";"";"";"";"";
"U2";"DRV8847PWPR";"DRV8847PWPR";"SOP65P640X120-17N";"None Check prices";"";"";"";"Warning";"";"";"";"";"";"";"";"";" 18-V, 2-A dual H-bridge motor driver with current regulation & independent half-bridge control 16-HTSSOP -40 to 125 ";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";"";"";"DRV8847PWPR";"";"";"";"";"";"HTSSOP-16 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/DRV8847PWPR/?ref=eda";"";"";"";"";"";"";"";
"U5";"LT8609A";"LT8609A";"MSOP-10_MSE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U11";"ADT7311";"ADT7311";"SOIC-8";"The ADT7311 is a high accuracy digital temperature sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"C25582-40G-M36-0A";"C25582-40G-M36-0A";"ADAFRUIT_C25582-40G-M36-0A_0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"SSW-120-02-G-D";"SSW-120-02-G-D";"SSW-120-02-G-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Samtec Inc.";"";"";"";"";"";"";"SSW-120-02-G-D";"";"";"unknown";"11P9639";"";"";"";"";"";"";"";"";"";"";"";"";
